06:p0401 =OK=> 06:p0401 XI. JOAN VAN HOORN, ABRAHAM VAN RIEBEECK, CHRISTOF
12:p0281 =OK=> 12:p0394 XX. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS ALB
12:p0281 =OK=> 12:p0403 XXL JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS ALB
12:p0281 =OK=> 12:p0499 XXII. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS A
12:p0281 =OK=> 12:p0500 XXIII. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS 
12:p0281 =OK=> 12:p0501 XXIV. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS A
12:p0281 =OK=> 12:p0509 XXV. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS AL
13:p0620 =OK=> 13:p0620 XLII. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS A
06:p0401 =XX=> 402 =/= 0402
09:p0294 =XX=> 327 =/= 0327
09:p0344 =XX=> 627 =/= 0627
09:p0628 =XX=> 830 =/= 0830
11:p0350 =XX=> 868 =/= 0868
12:p0281 =XX=> 510 =/= 0510
13:p0620 =XX=> 626 =/= 0626
