01:p0366 => II. HENRICK BROUWER, DR. PIETER VLACK, MAERTEN YSBRANTSZ  EN JAN VAN D ... 
01:p0369 => III. HENRICK BROUWER, DR. PIETER VLACK, MAERTEN YSBRANTSZ.  EN JAN VAN ... 
01:p0373 => IV. HENRICK BROUWER, ANTONIO VAN DIEMEN, DR. PIETER  VLACK, PHILIPS LU ... 
01:p0393 => V. HENRICK BROUWER, ANTONIO VAN DIEMEN, DR. PIETER VLACK,  JAN VAN DER ... 
01:p0433 => VI. HENRICK BROUWER, AAN BOORD VAN DE WESEL IN STRAAT  SUNDA 25 decemb ... 
01:p0435 => VIL HENRICK BROUWER, ANTONIO VAN DIEMEN, Dr. PIETER  VLACK EN JAN VAN  ... 
01:p0437 => VIII. HENRICK BROUWER, ANTONIO VAN DIEMEN, DR. PIETER  VLACK EN JAN VA ... 
01:p0438 => IX. HENRICK BROUWER, ANTONIO VAN DIEMEN, DR. PIETER  VLACK EN JAN VAN  ... 
01:p0453 => X. HENRICK BROUWER, ANTONIO VAN DIEMEN, JAN VAN DER  BURCH EN JAN VAN  ... 
01:p0482 => XI. HENRICK BROUWER, AAN BOORD VAN DE UTRECHT NABIJ DE  VLAKKE HOEK 8  ... 
01:p0491 => XII. HENRICK BROUWER, ANTONIO VAN DIEMEN EN JAN VAN DER  BURCH, BATAVI ... 
01:p0507 => XIII. HENRICK BROUWER, ANTONIO VAN DIEMEN, PHILIPS LUCASZ.,  MAERTEN I ... 
01:p0553 => I. ANTONIO VAN DIEMEN, PHILIPS LUCASZ., ARTUS GIJSELS EN  JAN VAN DER  ... 
01:p0554 => II. ANTONIO VAN DIEMEN, PHILIPS LUCASZ., ARTUS GIJSELS, HANS  PUTMANS, ... 
01:p0596 => III. ANTONIO VAN DIEMEN, PHILIPS LUCASZ., ARTUS GIJSELS EN  ANTONIO CA ... 
01:p0658 => IV. ANTONIO VAN DIEMEN, PHILIPS LUCASZ. EN ANTONIO CAEN,  BATAVIA 26 d ... 
01:p0663 => V. ANTONIO VAN DIEMEN, PHILIPS LUCASZ., CAREL RENIERS (EN  DE GEASSUME ... 
01:p0734 => VI. ANTONIO VAN DIEMEN, PHILIPS LUCASZ, CAREL RENIERS (EN DE GEASSUMEE ... 
02:p0001 => VIL ANTONIO VAN DIEMEN, PHILIPS LUCASZ., CAREL RENIERS,  ABRAHAM WELSI ... 
02:p0007 => VIII. ANTONIO VAN DIEMEN, ANTHONIO CAEN EN CORNELIS VAN  DER LIJN, BAT ... 
02:p0090 => IX. ANTONIO VAX DIEMEN, ANTHONIO CAEN EN CORNELIS VAN  DER LIJN, BATAV ... 
02:p0099 => X. ANTONIO VAX DIEMEN, ANTHONIO CAEN EN CORNELIS VAN  DER LIJN, BATAVI ... 
02:p0101 => XI. ANTONIO VAN DIEMEN EN CORNELIS VAN DER LIJN, BATAVIA  9 september  ... 
02:p0109 => XII. ANTONIO VAX DIEMEN, CORNELIS VAN DER LIJN EN JOHAN  VAN TWIST, BA ... 
02:p0128 => XIII. ANTONIO VAN DIEMEN EN CORNELIS VAN DER LIJN, BATAVIA  8 januari  ... 
02:p0135 => XIV. ANTONIO VAN DIEMEN EN CORNELIS VAN DER LIJN, BATAVIA  31 januari  ... 
02:p0137 => XV. ANTONIO VAX DIEMEN, CORNELIS VAN DER LIJN, JOAN  MAETSUYCKER, FRAN ... 
02:p0138 => XVI. ANTONIO VAX DIEMEN, CORNELIS VAN DER LIJN, JOANMAETSUYCKER, FRANQ ... 
02:p0139 => XVII. ANTONIO VAN DIEMEN, CORNELIS VAN DER LIJN, JOAN  MAETSUYCKER, FR ... 
02:p0155 => XVIII. ANTONIO VAX DIEMEN, ANTHONIO CAEN, CORNELIS VAN  DER LIJN, JOAN ... 
02:p0186 => XIX. ANTONIO VAX DIEMEN, ANTHONIO CAEN, CORNELIS VAN  DER LIJN, JOAN M ... 
02:p0190 => XX. ANTONIO VAX DIEMEN, CORNELIS VAN DER LIJN, JOAN  MAETSUYCKER, JUST ... 
02:p0194 => XXI. ANTONIO VAN DIEMEN, CORNELIS VAN DER LIJN, JOAN  MAETSUYCKER, JUS ... 
02:p0195 => XXII. ANTONIO VAN DIEMEN, CORNELIS VAN DER LIJN, JOAN  MAETSUYCKER, JU ... 
02:p0199 => XXIII. ANTONIO VAN DIEMEN, CORNELIS VAN DER LIJN, JOAN  MAETSUYCKER, J ... 
02:p0200 => XXIV. ANTONIO VAN DIEMEN, ANTHONIO CAEN, CORNELIS VAN  DER LIJN, JOAN  ... 
02:p0223 => XXV. ANTONIO VAX DIEMEN, CORNELIS VAN DER LIJN, JOAN  MAETSUYCKER, JUS ... 
02:p0230 => XXVI. ANTONIO VAX DIEMEN, CORNELIS VAN DER LIJN, JOAN  MAETSUYCKER, JU ... 
02:p0231 => XXVII. ANTONIO VAN DIEMEN, CORNELIS VAN DER LIJN, JOAN  MAETSUY CKER,  ... 
02:p0232 => XXVIII. ANTONIO VAN DIEMEN, CORNELIS VAN DER LIJN, SALOMON  SWEERS, PA ... 
02:p0256 => XXIX. ANTONIO VAN DIEMEN, CORNELIS VAN DER LIJN, SALOMON  SWEERS EN SI ... 
02:p0262 => XXX. ANTONIO VAN DIEMEN, CORNELIS VAN DER LIJN, SALOMON  SWEERS EN SIM ... 
02:p0267 => I. CORNELIS VAN DER LIJN1), JOAN MAETSUYKER2) EN SIMON  VAN ALPHEN, BA ... 
02:p0273 => II. CORNELIS VAN DER LETN, JOAN MAETSUYKER, CAREL RENIERS  EN SIMON VA ... 
02:p0278 => III. CORNELIS VAN DER LIJN, JOAN MAETSIJYKER, CAREL RENIERS  EN SIMON  ... 
02:p0283 => IV. CORNELIS VAN DER LIJN <super>1)</super>, FRANgOIS CARON, CAREL REN ... 
02:p0296 => V. CORNELIS VAN DER LIJN, ERANgOIS CARON, CAREL RENIERS,  ANTHONIO CAE ... 
02:p0306 => VI. CORNELIS VAN DER LIJN, FRANgOIS CARON, CAREL RENIERS,  ANTHONIO CA ... 
02:p0311 => VII. CORNELIS VAN DER LIJN, FRANgOIS CARON, CAREL RENIERS,  ANTHONIO C ... 
02:p0332 => VIII. CORNELIS VAN DER LIJN, FRANQOIS CARON, CAREL RENIERS,  JOCHEM RO ... 
02:p0366 => IX. CORNELIS VAN DER LIJN, ERANQOIS CARON, CAREL RENIERS,  JOCHEM ROEL ... 
02:p0370 => X. CORNELIS VAN DER LIJN, FRANQOIS CARON, CAREL RENIERS,  GERARD DEMME ... 
02:p0400 => XI. CORNELIS VAX DER LIJN, FRANQOIS CARON, CAREL RENIERS,  GERARD DEMM ... 
02:p0403 => I. CAKEL RENIERS, JOAN MAETSUYKER, GERARD DEMMER, JOAN  CUNAEUS, ARNOL ... 
02:p0445 => II. CAREL RENIERS, JOAN MAETSUYKER, GERARD DEMMER, JOAN  CUNAEUS, WILH ... 
02:p0476 => III. CAREL RENIERS, JOAN MAETSUYKER, GERARD DEMMER,  JOAN CUNAEUS, WIL ... 
02:p0480 => IV. CAREL RENIERS, JOAN MAETSUYKER, GERARD DEMMER,  CAREL HARTSINCK, A ... 
02:p0555 => V. CAREL RENIERS, JOAN MAETSUYKER, GERARD DEMMER,  CAREL HARTSINCK, AE ... 
02:p0583 => VI. CAREL RENIERS, JOAN MAETSUYKER, GERARD DEMMER,  CAREL HARTZINCK, A ... 
02:p0585 => VII. CAREL RENIERS, JOAN MAETSUYKER, CAREL HARTZINCK,  JOAN CUNAEUS, C ... 
02:p0640 => VIII. CAREL RENIERS <super>1)</super>, JOAN MAETSUYKER, CAREL HARTZINC ... 
02:p0668 => IX. JOAN MAETSUYKER, CAREL HARTZINCK, JOAN CUNAEUS,  CORNELIS CAESAR,  ... 
02:p0673 => I. JOAN MAETSUYKER, CAREL HARTZINCK, NICOLAES VERBURCH,  DIRCK JANSZ.  ... 
02:p0739 => II. JOAN MAETSUYKER, CAREL HARTZINCK, JOAN CUNAEUS,  NICOLAES VERBURCH ... 
02:p0746 => III. JOAN MAETSUYKER, GERARD HULFT, CAREL HARTZINCK,  JOAN CUNAEUS, AR ... 
02:p0770 => IV. JOAN MAETSUYKER. GEKARD HULFT, GABEL HARTZINCK,  JOAN CUNAEUS, NIC ... 
02:p0820 => V. JOAN MAETSUYKER, GERARjD HULET, CAREL HARTZINCK, JOAN  CUNAEUS, NIC ... 
02:p0821 => VI. JOAN MAETSUYKER, GERARD HULFT, CAREL HARTZINCK,  JOAN CUNAEUS, NIC ... 
03:p0001 => VII. JOAN MAETSUYKER, GEKARD HULFT, CAREL HARTZINCK,  JOAN CUNAEUS, NI ... 
03:p0004 => VIII. JOAN MAETSUYKER, CAREL HARTZINCK, JOAN CUNAEUS,  NICOLAES VERBUR ... 
03:p0047 => IX. JOAN MAETSUYKER, CAREL HARTZINCK, JOAN CUNAEUS,  NICOLAES VERBURCH ... 
03:p0079 => X. JOAN MAETSUYKER, CAREL HARTZINCK, JOAN CUNAEUS, NICOLAES  VERBURCH  ... 
03:p0083 => XI. JOAN MAETSUYKER, CAREL HARTZINCK, JOAN CUNAEUS,  NICOLAES VERBURCH ... 
03:p0085 => XII. JOAN MAETSUYKER, CAREL HARTZINCK, JOAN CUNAEUS,  ARNOLD DE VLAMIN ... 
03:p0108 => XIII. JOAN MAETSUYKER, CAREL HARTZINCK, JOAN CUNAEUS,  ARNOLD DE VLAMI ... 
03:p0147 => XIV. JOAN MAETSUYKER, CAREL HARTZINCK, JOAN CUNAEUS,  ARNOLD DE VLAMIN ... 
03:p0192 => XV. JOAN MAETSUYKER, CAREL HARTZINCK, ARNOLD DE VLAMING  VAN OUDTSHOOR ... 
03:p0209 => XVI. JOAN MAETSUYKER, CAREL HARTZINCK, ARNOLD DE VLAMING  VAN OUDTSHOO ... 
03:p0210 => XVII. JOAJST MAETSUYKER, CAREL HARTSINCK '), ARNOLD DE  VLAMING VAN OU ... 
03:p0247 => XVIII. JOAN MAETSUYKER, CAREL HARTSINCK, ARNOLD DE VLAMING  VAN OUDTSH ... 
03:p0292 => XIX. JOAN MAETSUYKER, CAREL HARTSINCK. ARNOLD DE VLAMENG  VAN OUDTSHOO ... 
03:p0314 => XX. JOAN MAETSUYKER, CAREL HARTSINCK, ARNOLD DE VLAMING  VAN OUDTSHOOR ... 
03:p0354 => XXI. JOAN MAETSUYKER, CAREL HARTSINCK, AERNOUT DE VLAM1NG  VAN OUDTSHO ... 
03:p0371 => XXII. JOAN MAETSUYKER, CAREL HARTSINCK, AERNOUT DEVLAMING VAN OUDTSHOO ... 
03:p0372 => XXIII. JOAN MAETSUYKER, CAREL HARTSINCK, AERNOUT DE  VLAMING VAN OUDTS ... 
03:p0375 => XXIV. JOAN MAETSUYKER, CAREL HARTSINCK, ARNOLD DE  VLAMING VAN OUDTSHO ... 
03:p0383 => XXV. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH  EN DIRCK JAN ... 
03:p0393 => XXVI. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH  EN DIRCK JA ... 
03:p0403 => XXVII. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH,  DIRCK JAN ... 
03:p0452 => XXVIII. JOAN MAETSUYKER, CAREL HARTS1NCK, NICOLAES VERBURCH,  DIRCK JA ... 
03:p0453 => XXIX. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH,  DIRCK JANS ... 
03:p0462 => XXX. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH,  LAURENS PIT ... 
03:p0466 => XXXI. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH,  RYCKLOFF V ... 
03:p0468 => XXXII. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH,  LAURENS P ... 
03:p0474 => XXXIII. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH,  LAURENS  ... 
03:p0483 => XXXIV. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH,  LAURENS P ... 
03:p0484 => XXXV. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH,  LAURENS PI ... 
03:p0525 => XXXVI. JOAN MAETSUYKER, CAREL HARTSINCK, NICOLAES VERBURCH,  LAURENS P ... 
03:p0581 => XXXVII. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS  PIT, PIETER OVERT ... 
03:p0601 => XXXVIII. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS  PIT, PIETER OVER ... 
03:p0613 => XXXIX. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS  PIT, PIETER OVERTW ... 
03:p0617 => XL. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS PIT,  PIETER OVERTWATE ... 
03:p0618 => XLI. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS PIT,  PIETER OVERTWAT ... 
03:p0641 => XLII. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS PIT,  PIETER OVERTWA ... 
03:p0653 => XLIII. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS PIT,  PIETER OVERTW ... 
03:p0655 => XLIV. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS PIT,  PIETER OVERTWA ... 
03:p0664 => XLV. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS PIT,  PIETER OVERTWAT ... 
03:p0670 => XL VI. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS PIT,  PIETER OVERTW ... 
03:p0674 => XL VII. JOAN MAETSUYKER, NICOLAES VERBURCH, LAURENS PIT,PIETER OVERTWA ... 
